3diemhxoxtk9xpab.cn,chinad dga (malware),360.com
vxvault.net
172.104.114.20/ww101019/adbe_101019.exe,malware,vxvault.net
www.gem-rg.com/wp-content/plugins/cmsboost/goz/goziecry.exe,malware,vxvault.net
app.fisioterapiaencancun.com/vendor/bin/home/toja/tojacry.exe,malware,vxvault.net
milap.net/js/az.exe,malware,vxvault.net
jisafhtsadas.xyz/DL_SOFT/idbf.exe,malware,vxvault.net
app.fisioterapiaencancun.com/vendor/bin/home/smile/smileycry.exe,malware,vxvault.net
corpcougar.com/bin/PurchaseOrder.exe,malware,vxvault.net
eve-marin.com/wp-content/themes/twentynineteen/sass/blocks/payments/2c.jpg,malware,vxvault.net
lavahotel.vn/wp-admin/dike/dikecrryyy.exe,malware,vxvault.net
ge-cleaner.tech/drp,malware,vxvault.net
modexcourier.eu/bobbye/bobbye.exe,malware,vxvault.net
milap.net/js/bpx1.exe,malware,vxvault.net
accessheler.com/cjay/cjayddd.exe,malware,vxvault.net
gessuae.ae/wp-includes/images/smilies/whe.exe,malware,vxvault.net
sarisdata.se/logs/2c.jpg,malware,vxvault.net
51.89.170.128/Jij/509110,malware,vxvault.net
185.61.138.222/AmazonSecurity.exe,malware,vxvault.net
rocabarnorth.com/html/images/2c.jpg,malware,vxvault.net
milap.net/js/pxd.exe,malware,vxvault.net
ladenverein-truellikon.ch/templates/protostar/html/com_media/imageslist/2c.jpg,malware,vxvault.net
crasyhost.com/upp.exe,malware,vxvault.net
zaheenmedical.com/wp-content/themes/bretheon/fonts/2c.jpg,malware,vxvault.net
139.162.116.241/web/adb_091019.exe,malware,vxvault.net
ooch.co.uk/styles/2c.jpg,malware,vxvault.net
crasyhost.com/file1.exe,malware,vxvault.net
senseint.info/lurd.exe,malware,vxvault.net
mailfueler.com/test/to/smilecrypt.exe,malware,vxvault.net
milap.net/js/bpx.exe,malware,vxvault.net
designati.altervista.org//wp-includes/css/pape/goziedd.exe,malware,vxvault.net
leddanceflooromaha.com/wp-admin/css/colors/blue/2c.jpg,malware,vxvault.net
tajstra.if.ua/includes/2c.jpg,malware,vxvault.net
sumenterprise.com/pcboost1.exe,malware,vxvault.net
highendfoods.in/html/2c.jpg,malware,vxvault.net
ge-cleaner.tech/kiskis.exe,malware,vxvault.net
cmailadvert15dx.world/sky/dmx777.exe,malware,vxvault.net
milap.net/js/px1.exe,malware,vxvault.net
pleanstreetdental.com/wp-content/plugins/ubh/benin/bencryp.exe,malware,vxvault.net
zanpress.com/wp-content/themes/Studio_ZANPRESS/fonts/doc/payments/2c.jpg,malware,vxvault.net
cmailadvert15dx.world/crot777amx.exe,malware,vxvault.net
